model,label,precision,item_id,mode,peak_allocated_gib,peak_reserved_gib,input_tokens,output_tokens,hardware
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_009,with_rag,1.1140851974487305,1.318359375,1388,125,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_009,no_rag,1.0127239227294922,1.318359375,189,181,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_010,no_rag,1.0133380889892578,1.318359375,197,166,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_010,with_rag,1.1221141815185547,1.318359375,1526,437,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_011,with_rag,1.1241207122802734,1.318359375,1597,219,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_011,no_rag,1.0128765106201172,1.318359375,191,156,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_012,no_rag,1.0131845474243164,1.318359375,195,123,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_012,with_rag,1.1238908767700195,1.318359375,1593,250,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_013,with_rag,1.1240053176879883,1.318359375,1595,276,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_013,no_rag,1.0129528045654297,1.318359375,192,176,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_014,no_rag,1.0137205123901367,1.318359375,202,152,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_014,with_rag,1.1299047470092773,1.318359375,1628,108,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_015,with_rag,1.130044937133789,1.318359375,1641,221,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_015,no_rag,1.0147151947021484,1.318359375,215,164,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_016,no_rag,1.0140266418457031,1.318359375,206,244,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_016,with_rag,1.1299476623535156,1.318359375,1632,359,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_017,with_rag,1.1366243362426758,1.318359375,1748,258,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_017,no_rag,1.0141029357910156,1.318359375,207,221,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_018,no_rag,1.0144853591918945,1.318359375,212,222,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_018,with_rag,1.1318778991699219,1.318359375,1710,274,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_019,with_rag,1.126688003540039,1.318359375,1624,508,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_019,no_rag,1.014256477355957,1.318359375,209,177,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_020,no_rag,1.0141792297363281,1.318359375,208,147,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b03_020,with_rag,1.1153240203857422,1.318359375,1429,207,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_002,with_rag,1.1300554275512695,1.318359375,1642,243,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_002,no_rag,1.0148687362670898,1.318359375,217,140,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_003,no_rag,1.0136442184448242,1.318359375,201,147,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_003,with_rag,1.1440296173095703,1.318359375,1880,178,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_004,with_rag,1.1233501434326172,1.318359375,1565,299,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_004,no_rag,1.0133380889892578,1.318359375,197,151,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_005,no_rag,1.0137968063354492,1.318359375,203,194,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_005,with_rag,1.1302804946899414,1.318359375,1663,344,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_006,with_rag,1.1302595138549805,1.318359375,1661,231,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_006,no_rag,1.0139503479003906,1.318359375,205,160,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_007,no_rag,1.0140266418457031,1.318359375,206,159,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_007,with_rag,1.1205434799194336,1.318359375,1507,169,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_008,with_rag,1.1229314804077148,1.318359375,1578,174,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_008,no_rag,1.0147151947021484,1.318359375,215,193,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_009,no_rag,1.0128002166748047,1.318359375,190,135,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_009,with_rag,1.1347455978393555,1.318359375,1735,219,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_010,with_rag,1.1149396896362305,1.318359375,1434,195,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_010,no_rag,1.0133380889892578,1.318359375,197,130,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_011,no_rag,1.0127239227294922,1.318359375,189,134,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_011,with_rag,1.1409673690795898,1.318359375,1834,185,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_012,with_rag,1.1318073272705078,1.318359375,1702,158,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_012,no_rag,1.0125703811645508,1.318359375,187,100,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_013,no_rag,1.0126466751098633,1.318359375,188,101,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_013,with_rag,1.1404504776000977,1.318359375,1823,177,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_014,with_rag,1.1184606552124023,1.318359375,1489,226,NVIDIA RTX A6000
meta-llama/Llama-3.2-1B-Instruct,Llama 3.2 1B,NF4,clinical_astra_b04_014,no_rag,1.0138731002807617,1.318359375,204,132,NVIDIA RTX A6000
