item_id,model_id,mode,NF4,BF16
clinical_astra_b02_014,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b02_015,Qwen/Qwen3.8-27B,no_rag,0.0,0.0
clinical_astra_b02_015,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_015,google/gemma-3-12b-it,no_rag,0.0,0.0
clinical_astra_b02_015,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b02_015,google/gemma-4-12B-it,no_rag,0.0,0.0
clinical_astra_b02_015,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_015,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b02_016,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b02_016,XHToken/Spark-X2.5-4B,no_rag,0.0,1.0
clinical_astra_b02_016,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b02_016,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b02_016,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b02_016,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b02_016,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_016,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b02_017,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_017,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b02_017,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b02_017,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b02_017,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b02_017,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_017,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b02_018,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b02_018,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_018,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b02_019,google/gemma-4-12B-it,no_rag,0.0,0.0
clinical_astra_b02_019,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_019,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_019,microsoft/phi-4,no_rag,0.0,1.0
clinical_astra_b02_020,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b02_020,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_020,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b02_020,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,1.0
